node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
TSG101,4.02925E7,0.47673,29.0,29.0,17.315,1.0,0.25,144.25,5.92446,531.90225,8682.0,0.35961,
SIRT2,7.4257952832E11,0.96656,25.0,25.0,24.642,1.0,0.25,143.5,5.94245,31.04428,1064.0,0.76667,
HSPB1,2.7352087E7,0.77992,20.0,21.0,18.97,1.0,0.2,137.03333,5.82014,142.89704,1912.0,0.60476,
MFN2,9.223372036854777E13,0.8827,38.0,39.0,31.104,3.0,0.25,152.08333,6.02518,813.37381,9562.0,0.5776,
IL4,1.985140095E10,0.73373,27.0,27.0,21.113,1.0,0.2,142.03333,5.88849,150.75353,2708.0,0.56695,
IFNG,8.1949644E9,0.92731,20.0,20.0,16.547,1.0,0.2,133.28333,5.7446,13.36443,398.0,0.79474,
NAMPT,4359600.0,0.8558,13.0,13.0,13.988,1.0,0.2,122.86667,5.56475,3.3449,66.0,0.85897,
HGF,1.9051210092E10,0.81837,23.0,23.0,18.412,1.0,0.2,137.61667,5.82014,111.76886,2002.0,0.66798,
CSNK2A1,50454.0,0.52927,14.0,14.0,11.159,1.0,0.2,132.95,5.78417,227.30565,2962.0,0.51648,
TRIB3,415.0,0.57279,9.0,10.0,8.315,1.0,0.2,127.23333,5.68345,35.0619,498.0,0.53333,
HMOX1,1.658330791488E13,0.94433,34.0,34.0,31.002,1.0,0.25,147.75,5.96763,46.10159,1578.0,0.67558,
XBP1,9.223372036854777E13,0.85713,34.0,34.0,31.106,1.0,0.25,149.25,6.0,103.76939,2492.0,0.61319,
ITGB4,1441.0,0.73175,7.0,8.0,7.377,1.0,0.2,118.61667,5.5036,41.69436,522.0,0.71429,
C12orf5,384.0,0.6123,8.0,8.0,9.155,1.0,0.2,123.86667,5.6259,2.91808,84.0,0.75,
KEAP1,9.223372036854777E13,0.93213,35.0,36.0,32.735,2.0,0.25,151.16667,6.02878,614.77536,6480.0,0.62381,
RB1CC1,9.223372036854777E13,0.77582,75.0,75.0,47.229,1.0,0.25,172.91667,6.21942,992.33,23526.0,0.43063,
IL10,9.924968741E10,0.71445,36.0,36.0,25.5,3.0,0.2,145.61667,5.89928,217.02395,3908.0,0.50159,
AKT1,9.223372036854777E13,0.53426,100.0,101.0,48.819,8.0,0.25,186.33333,6.32014,3965.74937,61790.0,0.26574,
CASP1,2.8965432557184E13,0.66894,39.0,39.0,26.909,2.0,0.25,150.58333,5.99281,505.39823,8722.0,0.45749,
S100A9,22.0,0.32929,7.0,7.0,4.664,1.0,0.2,114.45,5.42446,8.81437,142.0,0.42857,
TLR9,1105366.0,0.50659,22.0,22.0,13.885,2.0,0.2,131.95,5.69784,164.03681,2294.0,0.41991,
HMGB1,9.86799278928E11,0.84767,30.0,30.0,26.696,1.0,0.25,147.83333,6.0,119.2579,3116.0,0.63218,
PSEN1,5.13970276E8,0.57059,34.0,34.0,23.977,1.0,0.25,149.83333,6.01439,380.50706,6848.0,0.4082,
CLU,10323.0,0.61085,11.0,12.0,10.575,1.0,0.2,125.03333,5.6223,61.38885,770.0,0.54545,
AGER,1692.0,0.54298,11.0,11.0,9.65,1.0,0.2,123.11667,5.58633,22.90635,370.0,0.58182,
GBA,287303.0,0.49129,20.0,21.0,13.352,4.0,0.2,136.86667,5.82014,1680.1308,19952.0,0.38095,
ACER2,1.0,0.0,1.0,1.0,1.449,1.0,0.16667,90.3,4.82374,0.0,0.0,0.0,
SRC,9.223372036854777E13,0.60747,62.0,62.0,36.211,8.0,0.25,165.91667,6.16187,1418.95449,21346.0,0.35801,
ABL2,4.0,0.30898,3.0,3.0,3.904,1.0,0.2,110.65,5.35252,0.22604,12.0,0.66667,
CDK5,7.649757544E9,0.72786,28.0,28.0,24.308,1.0,0.25,145.08333,5.95324,135.05312,2622.0,0.55556,
MAPK8,9.223372036854777E13,0.81105,48.0,48.0,32.456,2.0,0.25,157.08333,6.06835,326.98395,7412.0,0.51862,
SQSTM1,9.223372036854777E13,0.60386,103.0,103.0,50.929,9.0,0.25,187.91667,6.33813,3257.79186,50298.0,0.30364,
BCL2L11,9.223372036854777E13,0.87995,35.0,35.0,29.396,1.0,0.25,147.25,5.94964,121.20369,2998.0,0.62353,
FOXO3,9.223372036854777E13,0.80248,63.0,63.0,41.823,1.0,0.25,165.16667,6.13669,380.36781,9714.0,0.47056,
HSPA8,9.223372036854777E13,0.5424,70.0,71.0,39.755,8.0,0.25,170.33333,6.19065,2995.84947,42572.0,0.29899,
HIF1A,9.223372036854777E13,0.74398,63.0,63.0,40.217,1.0,0.25,165.5,6.14388,475.19615,10620.0,0.43625,
MCL1,9.223372036854777E13,0.72304,50.0,50.0,35.561,4.0,0.25,157.91667,6.07194,594.58779,9452.0,0.45633,
S100A8,192.0,0.45891,10.0,10.0,8.377,1.0,0.2,120.36667,5.53237,13.49663,222.0,0.51111,
IFI16,187.0,0.45891,10.0,11.0,8.356,1.0,0.2,121.61667,5.55036,61.67783,716.0,0.41818,
PARK2,9.223372036854777E13,0.8161,56.0,56.0,41.154,1.0,0.25,163.83333,6.15827,881.67808,16610.0,0.49675,
BECN1,9.223372036854777E13,0.55412,123.0,123.0,52.609,8.0,0.25,198.75,6.43165,6314.81152,71768.0,0.26376,
MTOR,9.223372036854777E13,0.58543,122.0,122.0,54.066,18.0,0.25,197.66667,6.41367,5518.26381,76726.0,0.27937,
VPS13A,29.0,0.45378,5.0,8.0,7.206,1.0,0.2,117.7,5.48921,33.42412,588.0,0.28571,
UVRAG,9.223372036854777E13,0.87558,55.0,55.0,37.877,5.0,0.25,160.25,6.08993,898.52729,13394.0,0.53603,
KAT5,403946.0,0.6642,13.0,13.0,11.789,1.0,0.25,128.5,5.69784,16.67218,234.0,0.66667,
SNCA,9.223372036854777E13,0.6422,58.0,58.0,37.589,2.0,0.25,164.33333,6.15468,1087.57796,18740.0,0.38657,
HSP90AA1,9.223372036854777E13,0.62901,74.0,74.0,42.186,2.0,0.25,172.75,6.22302,1505.59511,23672.0,0.35061,
CASP3,9.223372036854777E13,0.6287,82.0,82.0,45.767,1.0,0.25,175.66667,6.22662,2005.22732,31446.0,0.33936,
IL3,8714283.0,0.71988,18.0,19.0,15.216,1.0,0.2,129.28333,5.66187,93.90883,1310.0,0.5731,
ATM,9.223372036854777E13,0.70503,40.0,40.0,27.622,1.0,0.25,151.83333,6.01439,327.86008,5816.0,0.47821,
TP53,9.223372036854777E13,0.51465,102.0,103.0,47.344,14.0,0.25,187.75,6.33813,4832.00989,61998.0,0.25452,
STAT3,9.223372036854777E13,0.6299,62.0,62.0,34.051,1.0,0.25,163.5,6.10791,942.55959,13988.0,0.37123,
PIK3CA,9.223372036854777E13,0.7388,43.0,43.0,31.111,1.0,0.25,151.66667,5.98921,360.49422,5938.0,0.48948,
EP300,9.223372036854777E13,0.74393,39.0,39.0,28.893,1.0,0.25,151.66667,6.01799,378.57801,5598.0,0.50877,
PIK3C3,9.223372036854777E13,0.59775,104.0,104.0,50.634,3.0,0.25,189.25,6.36331,3746.4372,55442.0,0.29966,
ATG14,9.223372036854777E13,0.84166,62.0,62.0,40.987,1.0,0.25,163.5,6.10791,443.81549,10214.0,0.49603,
GAPDH,9.223372036854777E13,0.62863,84.0,84.0,45.23,2.0,0.25,177.66667,6.2554,1752.90132,32280.0,0.33678,
STUB1,5.9242404E7,0.60055,31.0,31.0,24.192,2.0,0.2,143.95,5.89928,292.85309,4598.0,0.44301,
SIRT1,9.223372036854777E13,0.86837,56.0,56.0,40.946,1.0,0.25,162.16667,6.1223,243.769,6556.0,0.52857,
ABL1,9.223372036854777E13,0.78713,31.0,32.0,24.917,1.0,0.25,147.25,5.97122,310.36831,5400.0,0.54435,
