node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
PRKACA,83282.0,0.43347,22.0,22.0,17.765,1.0,0.25,135.5,5.78777,50.84349,1070.0,0.35931,
EEF1A2,24.0,0.56839,4.0,4.0,6.095,1.0,0.2,115.28333,5.46043,0.0,0.0,1.0,
PLAA,6.0,0.0,1.0,6.0,2.383,1.0,0.2,105.18333,5.20504,74.24179,698.0,0.0,
SUPT5H,3.0,0.30779,2.0,3.0,2.144,1.0,0.2,97.6,5.05396,2.24633,26.0,0.33333,
PIP4K2C,42.0,0.34989,8.0,10.0,5.816,1.0,0.2,119.03333,5.51079,67.44571,514.0,0.28889,
SNRNP70,7.0,0.2842,4.0,5.0,3.869,1.0,0.2,109.11667,5.31655,8.2423,90.0,0.3,
RNF41,14.0,0.32413,5.0,9.0,6.679,3.0,0.2,115.03333,5.42086,211.96103,2158.0,0.13889,
CLEC16A,2.0,0.0,1.0,2.0,1.942,1.0,0.2,94.21667,4.93885,5.02699,44.0,0.0,
CHMP3,3.9916801E7,0.93324,11.0,12.0,5.387,1.0,0.2,114.1,5.3705,12.17475,238.0,0.83333,
VPS37D,4.0279682E7,0.79954,14.0,14.0,6.621,1.0,0.2,117.28333,5.43525,25.3381,410.0,0.78022,
VPS37C,4.0279688E7,0.73108,15.0,15.0,7.046,1.0,0.2,119.11667,5.46763,38.69298,594.0,0.69524,
CHMP4C,4.0320006E7,0.6905,18.0,18.0,12.733,1.0,0.2,127.7,5.63669,84.28298,1922.0,0.61438,
STAM2,3.9916843E7,0.64095,15.0,16.0,8.57,1.0,0.2,118.23333,5.43525,99.87141,930.0,0.53333,
VPS4A,3.9916832E7,0.5564,16.0,16.0,7.806,1.0,0.2,120.48333,5.49281,103.42156,1036.0,0.51667,
GOLGA2,96.0,0.31933,13.0,13.0,10.097,2.0,0.2,128.7,5.70144,82.33155,1172.0,0.32051,
MET,3.5925723E8,0.65373,23.0,23.0,19.365,4.0,0.2,138.2,5.83453,191.96821,3138.0,0.5336,
EIF4G2,30.0,0.51861,5.0,5.0,4.425,1.0,0.2,110.45,5.34532,0.69867,30.0,0.8,
TNFAIP3,2272.0,0.46171,14.0,14.0,11.106,2.0,0.2,131.61667,5.7554,114.05743,1686.0,0.45055,
EIF4G3,30.0,0.51861,5.0,5.0,4.766,1.0,0.2,110.45,5.34532,0.69867,30.0,0.8,
TMEM173,62.0,0.29929,10.0,10.0,7.362,1.0,0.2,120.26667,5.52158,44.693,542.0,0.33333,
PAFAH1B2,1.0,0.0,1.0,1.0,1.562,1.0,0.16667,87.9,4.73741,0.0,0.0,0.0,
TLK2,2.0,0.0,1.0,2.0,1.287,1.0,0.2,90.5,4.81655,4.62178,14.0,0.0,
TOLLIP,728.0,0.71324,6.0,10.0,11.056,1.0,0.2,122.48333,5.57914,24.31986,520.0,0.42222,
TBC1D17,747.0,0.55399,8.0,9.0,8.204,1.0,0.2,118.9,5.51079,21.90768,258.0,0.52778,
UBQLN4,20.0,0.2148,9.0,11.0,7.661,2.0,0.2,128.7,5.71583,222.28538,2006.0,0.16364,
C18orf8,1.0,0.0,1.0,1.0,1.87,1.0,0.16667,90.83333,4.81295,0.0,0.0,0.0,
GOPC,7.0,0.46346,3.0,4.0,4.591,2.0,0.2,118.36667,5.53957,26.02484,1078.0,0.5,
TAB2,95.0,0.35124,12.0,13.0,8.151,2.0,0.25,126.66667,5.65827,142.69779,1470.0,0.30769,
DAPK3,170.0,0.49567,8.0,8.0,8.938,1.0,0.25,126.83333,5.70144,17.98677,330.0,0.60714,
KIAA0226L,4.0,0.30779,2.0,4.0,3.297,2.0,0.2,115.86667,5.48201,558.04474,3464.0,0.16667,
TRIM17,5.0,0.30898,3.0,4.0,3.748,1.0,0.2,116.95,5.5036,11.51684,196.0,0.33333,
